"zip_code","variable","value"
90001,"total_births",1146
90002,"total_births",1059
90003,"total_births",1418
90004,"total_births",804
90005,"total_births",516
90006,"total_births",908
90007,"total_births",429
90008,"total_births",363
90010,"total_births",29
90011,"total_births",2188
90012,"total_births",226
90013,"total_births",80
90014,"total_births",38
90015,"total_births",264
90016,"total_births",657
90017,"total_births",359
90018,"total_births",706
90019,"total_births",840
90020,"total_births",525
90021,"total_births",25
90022,"total_births",1102
90023,"total_births",810
90024,"total_births",261
90025,"total_births",561
90026,"total_births",765
90027,"total_births",412
90028,"total_births",170
90029,"total_births",443
90031,"total_births",530
90032,"total_births",569
90033,"total_births",824
90034,"total_births",717
90035,"total_births",466
90036,"total_births",521
90037,"total_births",1143
90038,"total_births",321
90039,"total_births",335
90040,"total_births",171
90041,"total_births",230
90042,"total_births",856
90043,"total_births",574
90044,"total_births",1579
90045,"total_births",416
90046,"total_births",376
90047,"total_births",654
90048,"total_births",246
90049,"total_births",353
90056,"total_births",55
90057,"total_births",750
90058,"total_births",69
90059,"total_births",848
90061,"total_births",478
90062,"total_births",442
90063,"total_births",904
90064,"total_births",304
90065,"total_births",582
90066,"total_births",679
90067,"total_births",20
90068,"total_births",193
90069,"total_births",134
90077,"total_births",80
90094,"total_births",160
90201,"total_births",1646
90202,"total_births",6
90210,"total_births",191
90211,"total_births",96
90212,"total_births",107
90220,"total_births",868
90221,"total_births",1098
90222,"total_births",589
90230,"total_births",337
90232,"total_births",188
90240,"total_births",286
90241,"total_births",629
90242,"total_births",603
90245,"total_births",176
90247,"total_births",649
90248,"total_births",115
90249,"total_births",312
90250,"total_births",1484
90254,"total_births",209
90255,"total_births",1229
90260,"total_births",464
90262,"total_births",1243
90265,"total_births",94
90266,"total_births",325
90270,"total_births",443
90272,"total_births",154
90274,"total_births",102
90275,"total_births",219
90277,"total_births",367
90278,"total_births",659
90280,"total_births",1413
90290,"total_births",42
90291,"total_births",321
90292,"total_births",274
90293,"total_births",133
90301,"total_births",512
90302,"total_births",418
90303,"total_births",404
90304,"total_births",462
90305,"total_births",132
90401,"total_births",54
90402,"total_births",105
90403,"total_births",268
90404,"total_births",232
90405,"total_births",271
90501,"total_births",600
90502,"total_births",209
90503,"total_births",423
90504,"total_births",305
90505,"total_births",272
90601,"total_births",376
90602,"total_births",333
90603,"total_births",210
90604,"total_births",540
90605,"total_births",517
90606,"total_births",422
90620,"total_births",498
90621,"total_births",554
90623,"total_births",117
90630,"total_births",416
90631,"total_births",889
90638,"total_births",476
90640,"total_births",786
90650,"total_births",1465
