zip_code,total_births,race_amer_ind,race_asian,race_se_asian,race_black,race_filipino,race_hispanic,race_hawaiian_pac_island,race_white,race_two_plus,race_other_unk,age_under_20,age_20_29,age_30_34,age_35_plus,age_unknown,birthweight_under_1500_g,birthweight_1500_2499_g,birthweight_2500_plus_g,birthweight_unk,trimester_none,trimester_first,trimester_second,trimester_third,trimester_unk
90001,1146,1,3,0,66,0,1058,0,11,2,5,138,651,200,157,0,16,65,1065,0,9,892,148,33,64
90002,1059,2,0,0,233,1,808,1,5,7,2,166,585,183,125,0,15,71,973,0,6,819,155,43,36
90003,1418,2,2,0,280,1,1114,1,6,8,4,194,803,264,156,1,9,93,1316,0,6,1090,220,49,53
90004,804,0,170,3,24,50,453,0,98,5,1,59,334,232,179,0,8,47,749,0,2,600,107,56,39
90005,516,0,117,4,18,20,325,0,22,7,3,34,199,163,120,0,7,25,484,0,1,419,64,15,17
90006,908,1,87,2,23,4,773,0,6,3,9,82,455,225,146,0,11,62,835,0,1,699,129,35,44
90007,429,1,22,0,52,0,330,0,18,3,3,40,230,101,58,0,7,42,380,0,2,331,52,24,20
90008,363,0,2,0,205,1,129,0,11,13,2,34,183,79,67,0,8,35,320,0,2,259,58,10,34
90010,29,0,25,0,1,0,0,0,3,0,0,1,5,16,7,0,0,1,28,0,0,24,3,1,1
90011,2188,0,4,1,134,3,2024,0,6,8,8,277,1176,412,323,0,32,121,2035,0,8,1622,351,90,117
90012,226,0,85,27,4,7,81,2,16,3,1,14,76,79,57,0,2,12,212,0,0,187,15,8,16
90013,80,0,21,0,14,2,18,0,18,4,3,5,22,33,20,0,1,8,71,0,0,69,8,1,2
90014,38,0,2,1,4,1,7,0,22,1,0,0,7,14,17,0,0,2,36,0,0,29,7,1,1
90015,264,0,23,1,18,5,200,0,12,2,3,34,110,66,54,0,4,21,239,0,1,200,34,12,17
90016,657,0,12,0,177,2,387,1,46,18,14,50,331,144,132,0,8,44,605,0,2,515,73,28,39
90017,359,0,26,4,24,3,284,0,14,1,3,39,157,93,70,0,4,21,334,0,1,298,45,10,5
90018,706,1,8,2,163,0,492,0,19,11,10,67,319,179,141,0,7,52,647,0,1,521,112,27,45
90019,840,0,113,3,114,7,472,0,102,17,12,65,330,250,195,0,6,52,782,0,1,631,79,55,74
90020,525,0,214,3,21,33,223,0,19,3,9,25,212,173,115,0,6,29,490,0,1,427,64,17,16
90021,25,0,3,0,4,0,15,0,1,2,0,2,8,7,8,0,0,2,23,0,0,19,2,4,0
90022,1102,0,3,3,1,1,1082,0,10,0,2,130,570,258,144,0,16,73,1013,0,7,846,88,18,143
