"zip_code","variable","value"
90001,"total_deaths",265
90002,"total_deaths",285
90003,"total_deaths",313
90004,"total_deaths",226
90005,"total_deaths",151
90006,"total_deaths",259
90007,"total_deaths",110
90008,"total_deaths",315
90010,"total_deaths",15
90011,"total_deaths",344
90012,"total_deaths",196
90013,"total_deaths",89
90014,"total_deaths",78
90015,"total_deaths",69
90016,"total_deaths",317
90017,"total_deaths",91
90018,"total_deaths",379
90019,"total_deaths",401
90020,"total_deaths",133
90021,"total_deaths",17
90022,"total_deaths",312
90023,"total_deaths",227
90024,"total_deaths",238
90025,"total_deaths",209
90026,"total_deaths",332
90027,"total_deaths",353
90028,"total_deaths",175
90029,"total_deaths",241
90031,"total_deaths",243
90032,"total_deaths",251
90033,"total_deaths",261
90034,"total_deaths",258
90035,"total_deaths",204
90036,"total_deaths",199
90037,"total_deaths",284
90038,"total_deaths",111
90039,"total_deaths",181
90040,"total_deaths",91
90041,"total_deaths",180
90042,"total_deaths",265
90043,"total_deaths",396
90044,"total_deaths",491
90045,"total_deaths",243
90046,"total_deaths",385
90047,"total_deaths",426
90048,"total_deaths",215
90049,"total_deaths",242
90056,"total_deaths",97
90057,"total_deaths",233
90058,"total_deaths",19
90059,"total_deaths",212
90061,"total_deaths",167
90062,"total_deaths",217
90063,"total_deaths",235
90064,"total_deaths",180
90065,"total_deaths",239
90066,"total_deaths",367
90067,"total_deaths",43
90068,"total_deaths",137
90069,"total_deaths",127
90073,"total_deaths",16
90077,"total_deaths",69
90094,"total_deaths",23
90201,"total_deaths",315
90202,"total_deaths",10
90210,"total_deaths",181
90211,"total_deaths",57
90212,"total_deaths",74
90220,"total_deaths",309
90221,"total_deaths",243
90222,"total_deaths",221
90230,"total_deaths",230
90232,"total_deaths",96
90240,"total_deaths",167
90241,"total_deaths",243
90242,"total_deaths",214
90245,"total_deaths",104
90247,"total_deaths",357
90248,"total_deaths",110
90249,"total_deaths",176
90250,"total_deaths",451
90254,"total_deaths",92
90255,"total_deaths",260
90260,"total_deaths",174
90262,"total_deaths",248
90265,"total_deaths",113
90266,"total_deaths",175
90270,"total_deaths",89
90272,"total_deaths",172
90274,"total_deaths",220
90275,"total_deaths",400
90277,"total_deaths",237
90278,"total_deaths",200
90280,"total_deaths",321
90290,"total_deaths",27
90291,"total_deaths",127
90292,"total_deaths",114
90293,"total_deaths",69
90301,"total_deaths",184
90302,"total_deaths",137
90303,"total_deaths",131
90304,"total_deaths",78
90305,"total_deaths",135
90401,"total_deaths",40
90402,"total_deaths",96
90403,"total_deaths",149
90404,"total_deaths",187
90405,"total_deaths",207
90501,"total_deaths",253
90502,"total_deaths",132
90503,"total_deaths",318
90504,"total_deaths",228
90505,"total_deaths",322
90601,"total_deaths",191
90602,"total_deaths",122
90603,"total_deaths",165
90604,"total_deaths",254
90605,"total_deaths",217
90606,"total_deaths",227
90620,"total_deaths",318
90621,"total_deaths",179
90623,"total_deaths",88
90630,"total_deaths",285
90631,"total_deaths",426
90638,"total_deaths",384
90640,"total_deaths",438
90650,"total_deaths",663
90660,"total_deaths",448
90670,"total_deaths",106
90680,"total_deaths",202
90701,"total_deaths",139
90703,"total_deaths",333
90704,"total_deaths",18
90706,"total_deaths",408
90710,"total_deaths",197
90712,"total_deaths",240
90713,"total_deaths",194
90715,"total_deaths",108
90716,"total_deaths",70
90717,"total_deaths",160
90720,"total_deaths",188
90723,"total_deaths",221
90731,"total_deaths",361
90732,"total_deaths",201
90740,"total_deaths",514
90743,"total_deaths",7
90744,"total_deaths",223
90745,"total_deaths",371
90746,"total_deaths",244
90755,"total_deaths",55
90801,"total_deaths",8
90802,"total_deaths",252
90803,"total_deaths",225
90804,"total_deaths",194
90805,"total_deaths",491
90806,"total_deaths",250
90807,"total_deaths",281
90808,"total_deaths",321
90810,"total_deaths",222
90813,"total_deaths",263
90814,"total_deaths",101
